id,name,categories_title,latitude,longitude,rating,review_count,price,address1,city,zip_code
rby9_KXg2_IgdbXB3AbGvQ,Hoodoo Lounge,Bars,51.1752107,-115.5712937,2.2,11,$$$$,137 Banff Ave,Banff,T1L
zHxbpzP5nV_42stQUwyefg,Larkspur Lounge,Lounges,51.151536,-115.559478,3.6,27,$$,300 Mountain Avenue,Banff,T1L 1J2
JmPUxEkbTiQazlpbLRkvRg,The Look Out Kitchen and Bar,Pubs,51.078446,-115.7823,4.3,3,,1 Sunshine Access Road,Edgewater,T1L 1J5
-807-ROolzy9TMEp9HuWYQ,Crazyweed Kitchen,Asian Fusion,51.09638164049717,-115.35859991528626,4.2,267,$$$,1600 Railway Avenue,Canmore,T1W 1P6
5DZEuXT67ldNJrP8m7ADOg,Grapes Wine Bar,Wine Bars,51.16476677707131,-115.56579636931151,4.8,34,$$,405 Spray Avenue,Banff,T1L 1J4
Gor_qML0lxsXPrM0md9z3g,The Storm Cellar,Pubs,51.18523468276592,-115.54825103320464,3.0,2,$,801 Hidden Ridge Way,Banff,T1L 1B3
fy8mLNQM_cUSyf1UYShsug,Bridgette Bar,Bars,51.08385960694194,-115.34827106066324,4.2,42,,1030 Spring Creek Drive,Canmore,T1W 2G2
aii4BSo4CO9usifXigEmEg,The Lone Pine Pub,Pubs,51.2016342283412,-115.59757450068,0.0,0,,579 Marmot Street,Banff,T0L
rnIzTpZoXwqnL-MUXIclRg,4296,Canadian (New),51.08945,-115.35746,4.6,39,,3-626 Main Street,Canmore,T1W 2B5
XlTNDMLcn7Cgdj9OV8QOfQ,The Sensory Restaurant & Wit Bar,Cocktail Bars,51.08847,-115.34586,3.8,26,,101 - 300 Old Canmore Road,Canmore,T1W 0L5
SjeeIQGA7ARpfLe57hc36w,BLAKE Brewhouse & Distillery,Asian Fusion,51.0896917511084,-115.348966307938,4.2,200,,810 Bow Valley Trail,Canmore,T1W 1N6
Jv5uVjTpOtxpRdH-jre0Wg,Murrieta's Bar & Grill,Wine Bars,51.08911759999999,-115.3607001,3.6,96,$$$,200 - 737 Main Street,Canmore,T1W 2B6
